"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"2014","Neah Bay","July",168,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2014","Neah Bay","Aug",56,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2014","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2014","Neah Bay","Season",3326,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2015","Neah Bay","May",3274,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2015","Neah Bay","June",839,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2015","Neah Bay","July",402,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2015","Neah Bay","Aug",104,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2015","Neah Bay","Sept",79,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2015","Neah Bay","Season",4698,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2016","Neah Bay","May",948,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2016","Neah Bay","June",794,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2016","Neah Bay","July",39,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2016","Neah Bay","Aug",7,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2016","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2016","Neah Bay","Season",1788,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2017","Neah Bay","May",451,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2017","Neah Bay","June",374,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2017","Neah Bay","July",3058,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2017","Neah Bay","Aug",2158,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2017","Neah Bay","Sept",310,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2017","Neah Bay","Season",6351,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2018","Neah Bay","May",2797,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2018","Neah Bay","June",1330,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2018","Neah Bay","July",2684,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2018","Neah Bay","Aug",283,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2018","Neah Bay","Sept",182,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2018","Neah Bay","Season",7276,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2019","Neah Bay","May",1430,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2019","Neah Bay","June",2616,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2019","Neah Bay","July",9491,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2019","Neah Bay","Aug",219,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2019","Neah Bay","Sept",67,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2019","Neah Bay","Season",13823,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2020","Neah Bay","May",135,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2020","Neah Bay","June",389,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2020","Neah Bay","July",692,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2020","Neah Bay","Aug",202,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2020","Neah Bay","Sept",0,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2020","Neah Bay","Season",1418,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2021","Neah Bay","May",262,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2021","Neah Bay","June",358,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2021","Neah Bay","July",212,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
